prenoms;nombre;sexe;annee
John;10;M;2004
Jonas;19;M;2004
Jonathan;39;M;2004
Jordan;11;M;2004
Joris;12;M;2004
Joseph;78;M;2004
Josephine;52;F;2004
Josh;6;M;2004
Joshua;26;M;2004
Judith;17;F;2004
Jules;187;M;2004
Julia;85;F;2004
Julian;15;M;2004
Julie;119;F;2004
Julien;156;M;2004
Juliette;170;F;2004
Justin;12;M;2004
Justine;70;F;2004
Kadiatou;9;F;2004
Kadidia;7;F;2004
Kadidiatou;6;F;2004
Kaïs;14;M;2004
Kamel;7;M;2004
Karim;19;M;2004
Karine;8;F;2004
Karl;10;M;2004
Katia;8;F;2004
Kelly;18;F;2004
Kenny;9;M;2004
Kenza;35;F;2004
Keren;11;F;2004
Kevin;25;M;2004
Kevin;58;M;2004
Khadija;6;F;2004
Khady;6;F;2004
Khalil;6;M;2004
Kiara;10;F;2004
Kilian;11;M;2004
Killian;32;M;2004
Kylian;25;M;2004
Kyllian;10;M;2004
Laetitia;23;F;2004
Laëtitia;10;F;2004
Lamine;6;M;2004
Lana;26;F;2004
Lara;28;F;2004
Lassana;7;M;2004
Latifa;6;F;2004
Laura;119;F;2004
Laure;21;F;2004
Lauren;9;F;2004
Laurent;18;M;2004
Lauriane;7;F;2004
Laurine;11;F;2004
Lazare;7;M;2004
Lea;195;F;2004
Leana;6;F;2004
Leandre;8;M;2004
Leane;16;F;2004
Leïla;10;F;2004
Lena;56;F;2004
Lena;19;F;2004
Leni;7;F;2004
Lenny;40;M;2004
Leo;136;M;2004
Leo;8;M;2004
Leon;26;M;2004
Leonard;39;M;2004
Leonie;26;F;2004
Leonore;8;F;2004
Leopold;20;M;2004
Leopoldine;9;F;2004
Leslie;9;F;2004
Lia;9;F;2004
Liam;21;M;2004
Lila;33;F;2004
Lilas;10;F;2004
Lili;22;F;2004
Lilia;20;F;2004
Lilian;16;M;2004
Liliane;10;F;2004
Lilou;28;F;2004
Lily;16;F;2004
Lina;91;F;2004
Linda;18;F;2004
Line;8;F;2004
Lino;9;M;2004
Lior;7;M;2004
Liora;11;F;2004
